function_call_sites_and_loops	self_gflop	self_gflops	self_giga_op	self_giga_ops
[loop in _ZNK8polytope4walkEPfS0_PKfS2_PKDv8_fS5_fRN10XoshiroCpp18Xoshiro128PlusPlusE]	87.4641	5.21612	103.864	6.19414
_ZNK8polytope4walkEPfS0_PKfS2_PKDv8_fS5_fRN10XoshiroCpp18Xoshiro128PlusPlusE	11.4797	0.702106	22.686	1.3875
[loop in _ZNK8polytope4walkEPfS0_PKfS2_PKDv8_fS5_fRN10XoshiroCpp18Xoshiro128PlusPlusE]	87.4641	9.32295	103.864	11.071
[loop in _ZNK8polytope4walkEPfS0_PKfS2_PKDv8_fS5_fRN10XoshiroCpp18Xoshiro128PlusPlusE]	87.4641	12.3873	103.864	14.7099
[loop in polytope::estimateVol]	0.411847	0.110256	1.09562	0.29331
[loop in _ZNK8polytope4walkEPfS0_PKfS2_PKDv8_fS5_fRN10XoshiroCpp18Xoshiro128PlusPlusE]	43.732	14.1986	49.1985	15.9734
func@0x2584				
_start	0.0		5e-09	
main	0.0		1.1e-08	
polytope::preprocess	7.4118e-05		0.000117045	
[loop in polytope::initEllipsoid]	0.0		2.592e-05	
polytope::initEllipsoid	0.0		3.0996e-05	
[loop in polytope::initEllipsoid]	2.584e-05		0.00011648	
polytope::estimateVol	0.000115948		0.000131262	
[loop in polytope::estimateVol]	0.000319005		0.000414627	
